type,latitude,longitude,name
village,19.1187329,74.0999078,Village Bori Budruk ahead
village,19.1430582,73.638586,Village Ambegaon ahead
village,19.1887099,80.1664169,Village Repanpalli ahead
village,19.2258807,77.4631822,Village Barad ahead
village,19.2703536,80.4586972,Village Pasewada ahead
village,19.3003161,75.4727559,Village Balam Takli ahead
village,19.3258753,78.1081277,Village Shivani ahead
village,19.3668447,73.1759578,Village Padagha ahead
village,19.3543392,75.2222307,Village Shevgaon ahead
village,19.37657,76.2232575,Village Ashti ahead
village,19.4243313,74.5491544,Village Kangar Bk ahead
village,19.442905,73.4585059,Village Shenwa ahead
village,19.4325419,74.9070425,Village Wadala Bahiroba ahead
village,19.4498924,74.6004443,Village Mandavagan ahead
village,19.4869787,73.0277754,Village Vajreshwari ahead
village,19.4964895,76.3483389,Village Satona ahead
village,19.51777,74.3670418,Village Ashwi ahead
village,19.532067,74.1194987,Village Dhandharphal ahead
village,19.566954,77.8423365,Village Dhanki ahead
village,19.6377874,73.9680003,Village Samsherpur ahead
village,19.6048622,75.0124759,Village Pravara Sangam ahead
village,19.6464428,72.7196769,Village Mahim ahead
village,19.6838885,77.5622601,Village Mulawa ahead
village,19.6993333,72.7127647,Village Shirgaon ahead
village,19.7813253,73.9747436,Village Dubere ahead
village,19.8085935,78.8536126,Village Mukutban ahead
village,19.7980071,75.2248403,Village Waluj Buzurg ahead
village,19.8039153,74.2489716,Village Wavi ahead
village,19.7912521,77.7689466,Village Mahagaon ahead
village,19.8674434,75.7262292,Village Badnapur ahead
village,19.8637249,80.0248726,Village Haladwahi ahead
village,19.872335,78.1233202,Village Shindkhed ahead
village,19.8757445,72.6854957,Village Tarapur ahead
village,19.8916662,73.1483765,Village Dengachimet ahead
village,19.8919924,77.4450312,Village Khandala ahead
village,19.9082,78.9038,Village Kayar ahead
village,19.9111112,72.9541755,Village Kasa Khurd ahead
village,19.9353722,73.3408052,Village Mokhada ahead
village,19.939157,75.2195952,Village Daulatabad ahead
village,19.9246627,73.0480377,Village Kasa Bk ahead
village,20.012265,74.5731488,Village Andarsul ahead
village,20.0208237,76.3754848,Village Bibi ahead
village,20.0535024,76.9794307,Village Rithad ahead
village,20.0869532,76.5187,Village Sultanpur ahead
village,20.0999206,78.5317609,Village Umari Road ahead
village,20.1260844,75.9928167,Village Tembhurni ahead
village,20.1154419,73.4533399,Village Harsul ahead
village,20.1426837,74.2377507,Village Lasalgaon ahead
village,20.1470926,77.9561519,Village Jawala ahead
village,20.1809114,74.78216,Village Talwada ahead
village,20.1630878,75.1380484,Village Hatnoor ahead
village,20.1674401,78.0585507,Village Rui ahead
village,20.1838425,76.7206581,Village Dongaon ahead
village,20.22447,78.4655927,Village Mohada ahead
village,20.2278636,72.7511725,Village Nargol ahead
village,20.2595702,73.5296917,Village Khadkipada ahead
village,20.2710221,80.3095434,Village Dhanora ahead
village,20.2951851,75.3394405,Village Pishor ahead
village,20.2922302,79.6566541,Village Sindewahi ahead
village,20.3168697,78.2963941,Village Jodmoha ahead
village,20.3306136,73.8894554,Village Vani ahead
village,20.3278566,80.4719412,Village Muramgaon ahead
village,20.3465243,77.9162543,Village Ladkhed ahead
village,20.348705,78.7125921,Village Pardi ahead
village,20.3709912,77.2508481,Village Shelu Bazar ahead
village,20.4086729,76.4445233,Village Amdapur ahead
village,20.4227234,78.5218429,Village Ralegaon ahead
village,20.4386953,78.743906,Village Wadner ahead
village,20.4610702,75.1738233,Village Nagad ahead
village,20.4540804,74.3977057,Village Saudane ahead
village,20.490904,74.0240765,Village Kalwan ahead
village,20.4895261,80.3737745,Village Malewada ahead
village,20.5360672,73.1740929,Village Dharampur ahead
village,20.5592432,73.6375614,Village Surgana ahead
village,20.5549542,74.2950493,Village Bramhangaon ahead
village,20.5711899,74.9470285,Village Mehunbare ahead
village,20.5902418,77.4376716,Village Kherda Bk ahead
village,20.5842349,75.7233954,Village Phardapur ahead
village,20.55657,78.165693,Village Babhulgaon ahead
village,20.6132385,78.929103,Village Jamb ahead
village,20.6530047,78.4773427,Village Deoli ahead
village,20.7082161,75.6813626,Village Pahur ahead
village,20.7436781,73.9183986,Village Chinchli ahead
village,20.7679433,77.4798953,Village Mana ahead
village,20.7729426,80.5173453,Village Markekasa ahead
village,20.7468462,74.7140907,Village Arvi ahead
village,20.8082152,75.9710079,Village Jamathi ahead
village,20.865059,73.079887,Village Gandeva ahead
village,20.8375277,78.7067438,Village Sailu ahead
village,20.8799733,74.8903378,Village Ajang ahead
village,20.8805842,75.1493483,Village Mhasve ahead
village,20.8950576,80.3795316,Village Chichgad ahead
village,20.9133018,74.5962882,Village Kusumbe ahead
village,20.9281928,79.0070802,Village Butibori ahead
village,20.9427436,74.5131182,Village Ner ahead
village,20.9979588,78.3456355,Village Wadhona ahead
village,21.0180294,73.1388718,Village Mahuva ahead
village,21.0091975,77.7036281,Village Walgaon ahead
village,21.015079,72.7366138,Village Umbhrat ahead
village,21.0870661,78.0654751,Village Teosa ahead
village,21.0902,77.5995,Village Assegaon ahead
village,21.0971235,79.6878903,Village Pachkhedi ahead
village,21.1293838,76.8561531,Village Hiwarkhed ahead
village,21.1410665,71.2537125,Village Khambha ahead
village,21.1545559,72.9609878,Village Chalthan ahead
village,21.1447542,79.6730974,Village Kardha ahead
village,21.1772912,73.7687744,Village Uchhal ahead
village,21.1815369,73.9658408,Village Visarwadi ahead
village,21.1826931,74.2942762,Village Titane ahead
village,21.2201783,75.4447418,Village Adavad ahead
village,21.2360573,70.3370309,Village Shergadh ahead
village,21.267769,80.4135964,Village Sakharitola ahead
village,21.3025033,78.9128585,Village Dhapewada Bk ahead
village,21.3086467,78.8301396,Village Mohpa ahead
village,21.3427385,74.9443965,Village Dahivad ahead
village,21.3673482,79.8424404,Village Mundikota ahead
village,21.3493486,80.2069714,Village Goregaon ahead
village,21.3699105,71.6684114,Village Jesar ahead
village,21.4455855,80.0518979,Village Gangajhari ahead
village,21.4665015,72.6783305,Village Kantiyajal ahead
village,21.4879,69.7514,Village Navibandar ahead
village,21.514157,74.3557209,Village Prakasha ahead
village,21.5115316,71.4057841,Village Vaghaniya ahead
village,21.5453441,73.7920866,Village Sagbara ahead
village,21.5527226,70.7069913,Village Bhesan ahead
village,21.6950878,71.5160345,Village Damnagar ahead
village,21.6342,70.9804,Village Kunkavav ahead
village,21.7502084,70.9948575,Village Derdi ahead
village,21.7747571,70.1315151,Village Dhank ahead
village,21.8447606,72.8448749,Village Vagra ahead
village,21.8485451,71.3036656,Village Babra ahead
village,21.9973656,72.5757515,Village Devla ahead
village,21.9922874,69.2429423,Village Bhogat ahead
village,21.9866962,73.4545373,Village Chanod ahead
village,22.0103536,71.1485723,Village Atkot ahead
village,22.0182663,69.4031447,Village Kalianpur ahead
village,22.0399,71.2046,Village Jasdan ahead
village,22.1963529,69.0200511,Village Baradia ahead
village,22.0435079,73.7270058,Village Nasvadi ahead
village,22.1224148,70.9342075,Village Ram para ahead
village,22.1999197,72.6354288,Village Kavi ahead
village,22.3069,69.5567,Village Goinj ahead
village,22.3686545,73.7298572,Village Jambughoda ahead
village,22.4243903,71.1992399,Village Chotila ahead
village,22.5229971,71.3677411,Village Doliya ahead
village,22.562511,73.2230996,Village Savli ahead
village,22.5899513,72.8286389,Village Padgol ahead
village,22.6174238,72.6801543,Village Nandoli ahead
village,22.6375445,71.4576782,Village Muli ahead
village,22.6367611,74.098681,Village Dhanpur ahead
village,22.5714021,73.6459606,Village Ghoghamba ahead
village,22.7073839,72.6623162,Village Matar ahead
village,22.7971776,73.2100076,Village Thasra ahead
village,22.8218366,72.7782897,Village Mahemdabad ahead
village,22.8746386,71.7093619,Village Vana ahead
village,22.9184516,73.8426033,Village Morwa ahead
village,22.9505383,73.6311429,Village Shahera ahead
village,22.9834878,69.1244993,Village દેઢિયા ahead
village,23.0583328,73.9710668,Village Sanjeli ahead
village,23.1914434,69.4978387,Village સમાંતર ahead
village,23.2571297,74.0391384,Village Fatehpura ahead
village,23.2779379,72.4450501,Village Chhatral ahead
village,23.3467,73.2054,Village Dhansura ahead
village,23.3423856,73.6050587,Village Bakor ahead
village,23.3625336,73.0177635,Village Harsol ahead
village,23.5087287,71.7886946,Village Sankeshvar ahead
village,23.4995137,72.0438728,Village Bechraji ahead
village,23.4838344,70.3490004,Village Manfara ahead
village,23.6360678,68.5391717,Village ગુહાર મોટી ahead
village,23.6931596,71.9008666,Village Harij ahead
village,23.7912418,71.4436557,Village Varahi ahead
village,23.8268882,68.7751578,Village લખપત ahead
village,23.8895668,73.0338896,Village Vijaynagar Crossing ahead
village,23.943721,71.7971842,Village Ranakpur ahead
village,23.9890672,72.1511656,Village Vagdod ahead
village,24.0701471,71.5976062,Village Bhabhar ahead
village,24.0387783,71.9411013,Village Kankrej ahead
village,24.1515492,71.3593406,Village Suigam ahead
village,24.1900667,72.0083387,Village Bhildi ahead
village,24.363947,71.5123139,Village Vav ahead
village,22.5995174,73.0113536,Village Sadanapua ahead
village,22.541545,72.9048945,Village Karamsad ahead
village,22.6048368,72.9829966,Village Samarkha ahead
village,22.6513989,72.9442452,Village Chaklasi ahead
village,22.6395239,72.9847507,Village Ajarpura ahead
village,22.6340857,73.0124186,Village Kasor ahead
village,22.5642544,72.9111088,Village Bakrol ahead
village,22.5275758,72.9321631,Village Mogri ahead
village,22.359562,72.9017273,Village Bhadaran ahead
village,22.2791056,72.9000707,Village Gajna ahead
village,22.3890184,72.9121348,Village Vasna ahead
village,22.445136,72.9424256,Village Pamol ahead
village,22.4265516,72.957179,Village Bodal ahead
village,22.4231209,72.9933086,Village Asodar ahead
village,22.4183922,72.9896168,Village Ambav ahead
village,22.4253901,73.0302931,Village Kantharia ahead
village,22.4200742,73.0416914,Village Bhetasi ahead
village,22.3972533,73.0381552,Village Ambali ahead
